x	y	label	key	showSelected1	PANEL
7	80	Year: 1960	1960	1960	3
7	80	Year: 1961	1961	1961	3
7	80	Year: 1962	1962	1962	3
7	80	Year: 1963	1963	1963	3
7	80	Year: 1964	1964	1964	3
7	80	Year: 1965	1965	1965	3
7	80	Year: 1966	1966	1966	3
7	80	Year: 1967	1967	1967	3
7	80	Year: 1968	1968	1968	3
7	80	Year: 1969	1969	1969	3
7	80	Year: 1970	1970	1970	3
7	80	Year: 1971	1971	1971	3
7	80	Year: 1972	1972	1972	3
7	80	Year: 1973	1973	1973	3
7	80	Year: 1974	1974	1974	3
7	80	Year: 1975	1975	1975	3
7	80	Year: 1976	1976	1976	3
7	80	Year: 1977	1977	1977	3
7	80	Year: 1978	1978	1978	3
7	80	Year: 1979	1979	1979	3
7	80	Year: 1980	1980	1980	3
7	80	Year: 1981	1981	1981	3
7	80	Year: 1982	1982	1982	3
7	80	Year: 1983	1983	1983	3
7	80	Year: 1984	1984	1984	3
7	80	Year: 1985	1985	1985	3
7	80	Year: 1986	1986	1986	3
7	80	Year: 1987	1987	1987	3
7	80	Year: 1988	1988	1988	3
7	80	Year: 1989	1989	1989	3
7	80	Year: 1990	1990	1990	3
7	80	Year: 1991	1991	1991	3
7	80	Year: 1992	1992	1992	3
7	80	Year: 1993	1993	1993	3
7	80	Year: 1994	1994	1994	3
7	80	Year: 1995	1995	1995	3
7	80	Year: 1996	1996	1996	3
7	80	Year: 1997	1997	1997	3
7	80	Year: 1998	1998	1998	3
7	80	Year: 1999	1999	1999	3
7	80	Year: 2000	2000	2000	3
7	80	Year: 2001	2001	2001	3
7	80	Year: 2002	2002	2002	3
7	80	Year: 2003	2003	2003	3
7	80	Year: 2004	2004	2004	3
7	80	Year: 2005	2005	2005	3
7	80	Year: 2006	2006	2006	3
7	80	Year: 2007	2007	2007	3
7	80	Year: 2008	2008	2008	3
7	80	Year: 2009	2009	2009	3
7	80	Year: 2010	2010	2010	3
7	80	Year: 2011	2011	2011	3
